epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93781,1.88529,3.60376,2.57718,0.49606,0.0145,0.29508,0.00438,0.00138,1.33412,3.38986,2.5558,0.15498,6e-05,6e-05,6e-05
2,3.90233,1.64831,3.3918,2.44247,0.40842,0.03428,0.86885,0.03668,0.01708,1.18508,2.83537,2.39469,0.18585,0.000138614,0.000138614,0.000138614
3,5.09738,1.33,2.42823,2.26157,0.28647,0.6006,0.7541,0.65912,0.36803,1.1324,1.54365,1.98138,0.2225,0.000215644,0.000215644,0.000215644
4,6.20472,1.20344,1.51092,1.99142,0.24491,0.97147,0.98361,0.99468,0.72347,0.99792,0.90767,1.76304,0.18234,0.00029109,0.00029109,0.00029109
5,7.26908,1.1147,1.13776,1.81861,0.27098,0.99632,1,0.995,0.72868,0.94091,0.83397,1.74877,0.16846,0.000364952,0.000364952,0.000364952
6,8.32143,1.07932,0.89899,1.87405,0.24622,0.99875,1,0.995,0.77186,0.87491,0.71087,1.77998,0.14396,0.00043723,0.00043723,0.00043723
7,9.39492,1.00616,0.80085,1.94936,0.25372,0.99924,1,0.995,0.78079,0.85834,0.64454,1.83552,0.13951,0.000507924,0.000507924,0.000507924
8,10.498,0.98925,0.72273,1.94206,0.26086,1,0.99973,0.995,0.79034,0.85877,0.71007,1.75617,0.14064,0.000577034,0.000577034,0.000577034
9,11.5382,0.98913,0.72254,1.86556,0.23997,0.99908,1,0.995,0.76938,0.83834,0.70253,1.76593,0.13806,0.00064456,0.00064456,0.00064456
10,12.5724,0.91641,0.66486,1.79801,0.21647,0.99898,1,0.995,0.76987,0.8687,0.70515,1.69039,0.16506,0.000710502,0.000710502,0.000710502
11,13.6192,0.91338,0.63263,1.77569,0.22834,0.9988,1,0.995,0.81022,0.82649,0.68158,1.6503,0.13139,0.00077486,0.00077486,0.00077486
12,14.7487,0.89541,0.64711,1.74905,0.20599,0.99877,1,0.995,0.81943,0.80351,0.62926,1.65175,0.12025,0.000837634,0.000837634,0.000837634
13,15.8021,0.90927,0.61906,1.7366,0.19594,0.9982,1,0.995,0.8123,0.78474,0.63208,1.64696,0.12225,0.000898824,0.000898824,0.000898824
14,16.832,0.90117,0.64075,1.6689,0.14067,0.99891,1,0.995,0.81694,0.78274,0.60489,1.65089,0.10844,0.00095843,0.00095843,0.00095843
15,17.8767,0.80787,0.61061,1.68075,0.1531,0.99874,1,0.995,0.78646,0.81413,0.57525,1.61165,0.11725,0.00101645,0.00101645,0.00101645
16,18.8937,0.85258,0.58982,1.64225,0.14972,0.99872,1,0.995,0.78515,0.78642,0.559,1.61002,0.11608,0.00107289,0.00107289,0.00107289
17,19.9279,0.79685,0.58659,1.62966,0.13211,0.99883,1,0.995,0.82097,0.7319,0.55558,1.62775,0.12334,0.00112774,0.00112774,0.00112774
18,20.9829,0.76618,0.57121,1.64956,0.11015,0.99891,1,0.995,0.82813,0.72266,0.543,1.58974,0.12484,0.00118101,0.00118101,0.00118101
19,22.0231,0.74193,0.53987,1.56035,0.12329,0.99901,1,0.995,0.81323,0.70858,0.54591,1.56485,0.10958,0.0012327,0.0012327,0.0012327
20,23.0569,0.75365,0.54155,1.5814,0.10024,0.99903,1,0.995,0.84618,0.66233,0.50201,1.53961,0.08596,0.0012828,0.0012828,0.0012828
21,24.0956,0.73886,0.53889,1.59554,0.08362,0.99907,1,0.995,0.87051,0.63716,0.50972,1.49146,0.07455,0.00133132,0.00133132,0.00133132
22,25.1344,0.73242,0.54832,1.53778,0.09874,0.99893,1,0.995,0.86912,0.64936,0.48505,1.47087,0.0752,0.00137825,0.00137825,0.00137825
23,26.166,0.74208,0.53319,1.53883,0.09761,1,1,0.995,0.87009,0.56844,0.45494,1.46545,0.06027,0.0014236,0.0014236,0.0014236
24,27.19,0.75573,0.54431,1.59507,0.08486,0.99887,1,0.995,0.87909,0.56447,0.44473,1.46085,0.04373,0.00146737,0.00146737,0.00146737
25,28.3293,0.69108,0.50789,1.59176,0.08809,0.99903,1,0.995,0.85713,0.62427,0.47545,1.43653,0.04424,0.00150955,0.00150955,0.00150955
26,29.3791,0.77544,0.53053,1.54404,0.07789,0.99909,1,0.995,0.86829,0.58055,0.45573,1.43256,0.05025,0.001505,0.001505,0.001505
27,30.4578,0.69219,0.51196,1.54083,0.09109,0.99903,1,0.995,0.88558,0.55391,0.4292,1.4599,0.05135,0.0014852,0.0014852,0.0014852
28,31.5263,0.71949,0.5278,1.56579,0.079,0.99901,1,0.995,0.87042,0.56445,0.42167,1.45636,0.04647,0.0014654,0.0014654,0.0014654
29,32.5713,0.72462,0.51263,1.53436,0.08978,0.99912,1,0.995,0.88651,0.56523,0.41871,1.40805,0.04838,0.0014456,0.0014456,0.0014456
30,33.6635,0.74,0.51658,1.48735,0.09458,0.99905,1,0.995,0.88467,0.55611,0.41714,1.39991,0.04718,0.0014258,0.0014258,0.0014258
31,34.7334,0.69843,0.49575,1.47392,0.08411,1,1,0.995,0.90105,0.52683,0.40103,1.42307,0.04757,0.001406,0.001406,0.001406
32,35.7914,0.65511,0.47575,1.51447,0.05925,0.99901,1,0.995,0.8954,0.50785,0.38811,1.42571,0.04083,0.0013862,0.0013862,0.0013862
33,36.8318,0.67725,0.48603,1.54402,0.06972,0.999,1,0.995,0.89634,0.50473,0.39077,1.38228,0.0389,0.0013664,0.0013664,0.0013664
34,37.8733,0.68237,0.49617,1.47127,0.08416,0.99898,1,0.995,0.90272,0.50774,0.38623,1.36952,0.03453,0.0013466,0.0013466,0.0013466
35,38.9761,0.64242,0.47159,1.41901,0.07346,0.99899,1,0.995,0.92366,0.46712,0.37564,1.38021,0.03273,0.0013268,0.0013268,0.0013268
36,40.0086,0.60804,0.47737,1.45708,0.05549,0.99901,1,0.995,0.92085,0.46077,0.36811,1.382,0.04122,0.001307,0.001307,0.001307
37,41.0455,0.57091,0.44052,1.47932,0.05399,0.99904,1,0.995,0.9197,0.474,0.36114,1.36385,0.03676,0.0012872,0.0012872,0.0012872
38,42.0606,0.61462,0.45985,1.47082,0.06807,0.99905,1,0.995,0.92232,0.45976,0.35779,1.35575,0.04404,0.0012674,0.0012674,0.0012674
39,43.09,0.61773,0.45823,1.41883,0.06098,0.99901,1,0.995,0.92534,0.43804,0.36899,1.3428,0.03085,0.0012476,0.0012476,0.0012476
40,44.1481,0.56377,0.45122,1.41859,0.05625,0.99903,1,0.995,0.92087,0.44559,0.36837,1.34524,0.02578,0.0012278,0.0012278,0.0012278
41,45.2237,0.5837,0.45705,1.44402,0.06651,0.99907,1,0.995,0.91306,0.44404,0.35906,1.35054,0.02738,0.001208,0.001208,0.001208
42,46.2499,0.51131,0.41495,1.41699,0.04932,0.99908,1,0.995,0.91185,0.42915,0.34949,1.34205,0.02975,0.0011882,0.0011882,0.0011882
43,47.2907,0.61277,0.45167,1.42138,0.06586,0.99907,1,0.995,0.91841,0.4317,0.34825,1.34501,0.02859,0.0011684,0.0011684,0.0011684
44,48.2908,0.60344,0.45871,1.42944,0.07477,0.99902,1,0.995,0.91015,0.43899,0.35518,1.3504,0.02733,0.0011486,0.0011486,0.0011486
45,49.3199,0.62043,0.45882,1.45898,0.06851,0.99897,1,0.995,0.92191,0.42725,0.3539,1.33824,0.02828,0.0011288,0.0011288,0.0011288
46,50.3562,0.57932,0.44583,1.4235,0.05637,0.99895,1,0.995,0.91526,0.43964,0.35846,1.31441,0.02386,0.001109,0.001109,0.001109
47,51.3578,0.56035,0.43758,1.41575,0.04091,0.99895,1,0.995,0.92245,0.4331,0.34368,1.31362,0.02364,0.0010892,0.0010892,0.0010892
48,52.3665,0.57174,0.43547,1.41124,0.03957,0.99895,1,0.995,0.92644,0.42342,0.33686,1.31844,0.02264,0.0010694,0.0010694,0.0010694
49,53.4278,0.54932,0.4232,1.3954,0.05315,0.99903,1,0.995,0.90199,0.43947,0.34561,1.3184,0.02849,0.0010496,0.0010496,0.0010496
50,54.4277,0.55672,0.41936,1.40235,0.05352,0.99906,1,0.995,0.92718,0.41833,0.34171,1.30859,0.02892,0.0010298,0.0010298,0.0010298
