epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00115,2.78587,7.74127,0.72883,3.69488,2.57188,0.66495,0.72131,0.69098,0.24347,0,0,0,0,2.16084,9.17608,0.67542,1.63287,2.06555,0.00028,0.00028,0.00028
2,7.56601,2.09766,7.4621,0.64616,2.12522,1.95104,0.18279,0.64905,0.17845,0.04946,0,0,0,0,2.25236,9.06026,0.65141,2.15723,2.19026,0.000575215,0.000575215,0.000575215
3,11.061,1.61858,7.15,0.58765,1.64208,1.62962,0.28656,0.7541,0.30295,0.07661,0,0,0,0,2.27205,9.12028,0.61427,2.24867,2.37429,0.00086548,0.00086548,0.00086548
4,14.5923,1.64793,7.23723,0.52631,1.94201,1.70949,0.28547,0.37705,0.20171,0.05453,0,0,0,0,2.45847,9.07967,0.56318,1.74679,2.65534,0.0011508,0.0011508,0.0011508
5,18.1182,1.84546,7.10985,0.51655,2.1767,1.90151,0.19186,0.86885,0.21834,0.08735,0,0,0,0,2.08707,9.00942,0.49147,2.15872,2.38943,0.00143116,0.00143116,0.00143116
6,21.6862,1.71405,7.35768,0.45807,1.94206,1.68956,0.19399,0.78689,0.19649,0.06826,0,0,0,0,1.89424,9.16009,0.45025,4.10854,2.22986,0.00170657,0.00170657,0.00170657
7,25.2677,1.63314,7.01717,0.46646,1.78286,1.67138,0.75925,0.81967,0.86819,0.18755,0,0,0,0,2.21103,9.15775,0.33447,1.97652,2.84346,0.001901,0.001901,0.001901
8,28.8716,1.58398,7.17554,0.42856,1.73767,1.68404,0.28641,0.2459,0.14547,0.05181,0,0,0,0,1.94545,9.0208,0.30191,3.31288,2.21632,0.0018845,0.0018845,0.0018845
9,32.4189,1.74278,6.85584,0.44505,2.17518,1.74384,0.22005,0.62903,0.2647,0.10027,0,0,0,0,1.93829,9.03787,0.22917,2.77312,2.37227,0.001868,0.001868,0.001868
10,35.9644,1.62002,7.32228,0.37248,1.80951,1.61166,0.34845,0.65574,0.37397,0.1416,0,0,0,0,1.90517,8.93932,0.18633,2.26873,2.28927,0.0018515,0.0018515,0.0018515
11,39.4285,1.61291,6.95376,0.37179,1.6992,1.61071,0.34845,0.65574,0.37397,0.1416,0,0,0,0,1.90517,8.93932,0.18633,2.26873,2.28927,0.001835,0.001835,0.001835
12,42.9456,1.60225,7.00356,0.39168,1.71272,1.62175,0.14144,0.85246,0.14194,0.06709,0,0,0,0,1.71447,8.83405,0.18629,3.95978,1.87116,0.0018185,0.0018185,0.0018185
