epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14239,2.78587,7.74127,0.72883,3.69488,2.57188,0.88462,0.37705,0.34658,0.12685,0,0,0,0,2.16084,9.17608,0.67542,1.63287,2.06555,0.00028,0.00028,0.00028
2,9.48465,2.0965,7.45814,0.64606,2.12567,1.95153,0.2,0.09836,0.01966,0.0036,0,0,0,0,2.2498,9.06283,0.65102,2.14419,2.18867,0.000576172,0.000576172,0.000576172
3,12.7531,1.61105,7.14526,0.58607,1.66142,1.62453,0.09756,0.06557,0.00634,0.00111,0,0,0,0,2.26031,9.12058,0.61402,2.3015,2.35482,0.000868384,0.000868384,0.000868384
4,16.0354,1.62684,7.23952,0.52225,1.98646,1.69129,0.42857,0.19672,0.10484,0.01681,0,0,0,0,2.4031,9.06641,0.55921,1.65156,2.6512,0.00115664,0.00115664,0.00115664
5,19.2923,1.79615,7.09764,0.51412,2.1147,1.87069,0.125,0.09836,0.01462,0.00528,0,0,0,0,2.19276,9.00959,0.48603,2.32261,2.58747,0.00144093,0.00144093,0.00144093
6,22.5811,1.74067,7.36559,0.45923,1.92581,1.72341,0.375,0.4918,0.18563,0.05057,0,0,0,0,1.94511,9.16063,0.45192,4.7808,2.35058,0.00172126,0.00172126,0.00172126
7,25.8142,1.69759,7.01878,0.46889,1.77174,1.71802,0.83333,0.7377,0.65635,0.13067,0,0,0,0,2.17528,9.21135,0.3794,1.78731,2.54461,0.0019208,0.0019208,0.0019208
8,29.2373,1.61208,7.19703,0.4339,1.62382,1.68748,0.75,0.09836,0.07833,0.0325,0,0,0,0,1.97865,9.09103,0.25739,2.25139,2.36685,0.0019076,0.0019076,0.0019076
9,32.5305,1.72571,6.89542,0.41524,1.72905,1.79633,0.84883,0.78689,0.72033,0.21539,0,0,0,0,1.89238,9.09619,0.18727,2.03472,2.19269,0.0018944,0.0018944,0.0018944
10,35.9374,1.52618,7.29408,0.36623,1.46827,1.59166,0.2807,0.2623,0.11502,0.04641,0,0,0,0,2.21142,8.80194,0.15571,2.13939,2.59101,0.0018812,0.0018812,0.0018812
11,39.2479,1.60226,7.00476,0.37553,2.33681,1.5863,0.2807,0.2623,0.11502,0.04641,0,0,0,0,2.21142,8.80194,0.15571,2.13939,2.59101,0.001868,0.001868,0.001868
12,42.5683,1.63,6.99859,0.36605,1.79618,1.68585,0.32692,0.27869,0.17352,0.06437,0,0,0,0,2.06294,8.56439,0.15554,2.07032,2.24643,0.0018548,0.0018548,0.0018548
13,45.856,1.57459,6.95623,0.34255,1.79723,1.63562,0.84906,0.7377,0.70185,0.26681,0,0,0,0,1.77157,8.63674,0.12286,2.00776,1.82368,0.0018416,0.0018416,0.0018416
14,49.307,1.61272,6.8894,0.37587,1.91529,1.65409,0.91304,0.34426,0.32945,0.1042,0,0,0,0,1.79193,8.78514,0.13446,1.63601,1.80332,0.0018284,0.0018284,0.0018284
15,52.6528,1.4872,7.0639,0.33183,1.65404,1.54441,0.92308,0.19672,0.19038,0.06251,0,0,0,0,1.78794,8.83383,0.13116,1.51943,1.81744,0.0018152,0.0018152,0.0018152
16,56.0379,1.56069,7.00318,0.32752,1.60018,1.5824,0.83333,0.7377,0.70134,0.2386,0,0,0,0,1.71638,9.00475,0.11521,1.54355,1.76554,0.001802,0.001802,0.001802
17,59.4457,1.48893,6.81514,0.29911,1.4688,1.53687,0.90698,0.63934,0.61539,0.18236,0,0,0,0,1.76025,9.03203,0.1131,1.88303,1.78161,0.0017888,0.0017888,0.0017888
18,62.8175,1.43976,6.71291,0.28918,1.50802,1.57067,0.74286,0.42623,0.37362,0.06795,0,0,0,0,1.96503,9.07137,0.09642,4.89449,1.95669,0.0017756,0.0017756,0.0017756
19,66.2293,1.39543,6.87148,0.23765,1.37548,1.48967,0.80851,0.62295,0.53963,0.14622,0,0,0,0,1.89108,9.12307,0.103,2.14324,1.88837,0.0017624,0.0017624,0.0017624
20,69.6036,1.437,6.77796,0.28849,1.38761,1.48154,0.63415,0.42623,0.33448,0.13791,0,0,0,0,2.0381,9.08166,0.1356,1.68129,2.00604,0.0017492,0.0017492,0.0017492
21,72.9979,1.40153,6.84184,0.27093,1.46029,1.48669,0.83333,0.57377,0.51875,0.15782,0,0,0,0,1.91392,8.92987,0.11292,1.46204,1.92258,0.001736,0.001736,0.001736
22,76.3927,1.45479,6.88652,0.26623,1.4559,1.51176,0.91128,0.67357,0.69075,0.13821,0,0,0,0,1.78345,8.1741,0.05421,1.8295,1.90319,0.0017228,0.0017228,0.0017228
23,79.866,1.36317,6.66341,0.2622,1.42117,1.52187,0.83307,0.73633,0.6946,0.12245,0.03636,0.03279,0.00127,0.00013,1.75493,8.47926,0.05521,1.93371,1.90014,0.0017096,0.0017096,0.0017096
24,83.3113,1.31733,7.01029,0.26915,1.44717,1.46332,0.87137,0.7377,0.75821,0.21239,0.03528,0.03279,0.00125,0.00025,1.68567,8.25267,0.039,1.63117,1.85497,0.0016964,0.0016964,0.0016964
25,86.8027,1.29222,6.69955,0.26167,1.44604,1.40458,0.85185,0.7541,0.73188,0.18132,0.02329,0.01639,0.00042,0.00012,1.74797,8.13923,0.0354,1.48977,1.95195,0.0016832,0.0016832,0.0016832
26,90.3049,1.29076,6.61778,0.27592,1.54378,1.44793,0.92857,0.63934,0.62475,0.26415,0.02828,0.01639,0.00056,0.00011,1.64869,7.91677,0.03561,1.24656,1.80303,0.00167,0.00167,0.00167
27,93.7869,1.33704,6.76915,0.22498,1.37777,1.41563,0.92857,0.63934,0.62475,0.26415,0.02828,0.01639,0.00056,0.00011,1.64869,7.91677,0.03561,1.24656,1.80303,0.0016568,0.0016568,0.0016568
28,97.3267,1.40163,6.90852,0.20065,1.31476,1.42304,0.84615,0.72131,0.68496,0.36974,0.03932,0.03279,0.00143,0.00032,1.50312,7.82799,0.04668,1.17642,1.59965,0.0016436,0.0016436,0.0016436
29,100.999,1.28973,6.48844,0.25346,1.36769,1.45612,0.89744,0.57377,0.52167,0.26151,0,0,0,0,1.48295,8.14264,0.07627,1.4762,1.62017,0.0016304,0.0016304,0.0016304
